sample_text,class,class_number,intent,sub_intent,language
What's the latest on using transformers for instance segmentation in computer vision?,Web Search and Current Information Query,2,web_intent,feedback_request,en
ผู้เชี่ยวชาญด้าน AI คิดอย่างไรเกี่ยวกับการใช้ ChatGPT ในการเรียนรู้ของเครื่อง,Web Search and Current Information Query,2,web_intent,clarification_request,th
How are the latest academic breakthroughs in quantum cryptography being used in real-world cybersecurity solutions?,Hybrid Research Query,3,hybrid_intent,comparison_request,en
"What statistical methods are most effective for analyzing the performance of machine learning models in computer vision tasks, specifically object detection?",Academic Research Query,1,academic_intent,data_analysis,en
ศึกษาการประยุกต์ใช้เทคนิค dimensionality reduction ในการวิเคราะห์ข้อมูลขนาดใหญ่ในอุตสาหกรรมและผลกระทบต่อประสิทธิภาพการทำงาน,Hybrid Research Query,3,hybrid_intent,search_request,th
วิธีการเลือก parameter ที่เหมาะสมที่สุดสำหรับ super resolution ในการปรับปรุงคุณภาพภาพถ่ายโดยใช้เทคนิคการเรียนรู้ของเครื่อง?,Academic Research Query,1,academic_intent,source_request,th
Think it'll rain later? Maybe we should grab an umbrella.,Casual Conversation and General Query,4,out_of_domain,weather_queries,en
world models,Hybrid Research Query,3,hybrid_intent,trend_analysis,th
"What is the formal definition of 'cross-modal alignment' in the context of multimodal machine learning, and how is it measured?",Academic Research Query,1,academic_intent,definition_request,en
GPT-3 มีการพัฒนาอะไรใหม่ๆ บ้างที่น่าสนใจสำหรับนักเรียน AI เหมือนผม?,Web Search and Current Information Query,2,web_intent,understanding_check,th
ฉันควรซื้อเสื้อผ้าใหม่สำหรับงานปาร์ตี้วันเสาร์นี้ไหม?,Casual Conversation and General Query,4,out_of_domain,shopping_advice,th
"What are the statistical correlations between socioeconomic factors and voter turnout in the United States, as analyzed through regression analysis and hypothesis testing?",Academic Research Query,1,academic_intent,statistical_query,en
What's the latest on using transformers for visual odometry in self-driving cars?,Web Search and Current Information Query,2,web_intent,feedback_request,en
What are the latest research findings and industry applications of knowledge graphs in recommender systems for e-commerce platforms?,Hybrid Research Query,3,hybrid_intent,case_study,en
How has academic research on bias detection in facial recognition translated into real-world applications and regulations?,Hybrid Research Query,3,hybrid_intent,comparison_request,en
What are the latest industry applications of graph neural networks for bias detection in social media?,Hybrid Research Query,3,hybrid_intent,search_request,en
การวิเคราะห์ข้อมูลภาพถ่ายด้วยกล้องวงจรปิดสามารถปรับปรุงประสิทธิภาพการตรวจจับวัตถุได้อย่างไร?,Academic Research Query,1,academic_intent,academic_query,th
Edge computing กับ IoT มันเกี่ยวข้องกันยังไงอ่ะ?,Web Search and Current Information Query,2,web_intent,clarification_request,th
"What are the applications of topological data analysis in understanding complex systems, and how does it compare to traditional machine learning methods?",Academic Research Query,1,academic_intent,academic_query,en
